Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"12.01.2018, 18:00",Cerrad Czarni Radom,MKS Będzin,3,0,53,73,11,12,"3,67",52,6,7,31,59%,9,17%,73,4,8,36,49%,6,"2,00",45,65,6,13,"2,00",61,11,18,27,44%,11,18%,74,7,6,31,42%,8,"2,67"
"12.01.2018, 18:00",Cuprum Lubin,Stocznia Szczecin,3,1,72,101,12,9,"3,00",66,2,23,30,45%,10,15%,98,6,8,51,52%,9,"2,25",71,88,2,22,"0,50",92,12,21,47,51%,20,21%,105,6,9,61,58%,8,"2,00"
"14.01.2018, 15:00",Indykpol AZS Olsztyn,Dafi Społem Kielce,3,0,55,74,6,5,"2,00",58,2,11,35,60%,14,24%,81,4,10,39,48%,10,"3,33",55,66,2,8,"0,67",69,6,11,40,57%,13,18%,89,11,10,43,48%,10,"3,33"
"13.01.2018, 17:00",Asseco Resovia Rzeszów,BBTS Bielsko-Biała,3,0,57,73,11,14,"3,67",52,4,12,29,55%,13,25%,62,3,6,41,66%,5,"1,67",40,63,3,11,"1,00",59,15,14,23,38%,7,11%,62,6,5,31,50%,6,"2,00"
"13.01.2018, 14:45",Jastrzębski Węgiel,ZAKSA Kędzierzyn-Koźle,1,3,60,86,2,14,"0,50",84,8,22,43,51%,19,22%,124,8,11,54,44%,4,"1,00",76,99,8,15,"2,00",72,2,21,36,50%,16,22%,112,9,4,57,51%,11,"2,75"
"14.01.2018, 14:45",Aluron Virtu Warta Zawiercie,PGE Skra Bełchatów,3,0,45,75,7,13,"2,33",45,4,15,14,31%,7,15%,69,6,7,30,43%,8,"2,67",44,65,4,20,"1,33",62,7,12,33,53%,15,24%,81,9,8,33,41%,7,"2,33"
"22.01.2018, 18:00",Trefl Gdańsk,Aluron Virtu Warta Zawiercie,3,1,71,94,6,15,"1,50",64,7,14,27,42%,12,18%,87,6,9,55,63%,10,"2,50",60,83,7,19,"1,75",79,6,20,43,54%,18,22%,92,4,10,44,48%,9,"2,25"
"21.01.2018, 14:45",PGE Skra Bełchatów,Jastrzębski Węgiel,2,3,69,97,11,32,"2,20",88,6,25,34,38%,15,17%,100,6,7,47,47%,11,"2,20",62,105,6,17,"1,20",65,11,20,22,33%,12,18%,88,5,11,49,56%,7,"1,40"
"21.01.2018, 20:00",ZAKSA Kędzierzyn-Koźle,Asseco Resovia Rzeszów,1,3,59,95,5,21,"1,25",75,2,22,40,53%,18,24%,110,5,8,48,44%,6,"1,50",72,97,2,22,"0,50",74,5,18,36,48%,14,18%,110,10,6,62,56%,8,"2,00"
"20.01.2018, 17:00",BBTS Bielsko-Biała,Indykpol AZS Olsztyn,1,3,64,78,1,8,"0,25",83,4,29,37,44%,16,19%,117,8,11,53,45%,10,"2,50",75,91,4,8,"1,00",70,1,23,30,42%,11,15%,113,5,10,60,53%,11,"2,75"
"18.01.2018, 18:00",Dafi Społem Kielce,Cuprum Lubin,2,3,79,107,8,18,"1,60",94,7,22,46,48%,17,18%,141,16,12,60,43%,11,"2,20",73,107,7,13,"1,40",89,8,23,44,49%,17,19%,116,10,11,54,47%,12,"2,40"
"19.01.2018, 18:00",Stocznia Szczecin,Cerrad Czarni Radom,2,3,72,98,7,17,"1,40",96,2,30,49,51%,31,32%,145,15,9,57,39%,8,"1,60",75,109,2,13,"0,40",81,7,25,34,41%,15,18%,127,11,8,64,50%,9,"1,80"
